SampleID,REGION,Age,MODELDIS,0610006I08RIK Expression,Pathology
2330,Cortex,4,WILD,11.2908,NA
2338,Cortex,4,WILD,11.218,NA
2351,Cortex,4,WILD,11.2784,NA
2392,Cortex,4,WILD,11.5661,NA
2393,Cortex,4,WILD,11.333,NA
2393,Cortex,4,WILD,11.333,NA
2393,Cortex,4,WILD,11.5434,NA
2393,Cortex,4,WILD,11.5434,NA
2434,Cortex,4,WILD,11.3829,NA
1462,Cortex,8,WILD,11.1138,NA
1472,Cortex,8,WILD,11.1884,NA
1473,Cortex,8,WILD,11.2663,NA
1475,Cortex,8,WILD,11.0492,NA
2337,Cortex,8,WILD,11.2276,NA
2341,Cortex,8,WILD,11.2628,NA
2342,Cortex,8,WILD,11.2195,NA
2416,Cortex,8,WILD,11.2973,NA
2417,Cortex,8,WILD,11.2467,NA
2418,Cortex,8,WILD,11.2757,NA
1145,Cortex,18,WILD,11.4176,NA
1151,Cortex,18,WILD,11.3159,NA
1161,Cortex,18,WILD,11.1379,NA
2098,Cortex,18,WILD,11.2721,NA
2152,Cortex,18,WILD,11.1952,NA
2153,Cortex,18,WILD,11.2653,NA
2155,Cortex,18,WILD,11.3105,NA
1105,HIP,2,HET_TASTPM,11.5601,0
1106,HIP,2,HET_TASTPM,11.6291,0
1107,HIP,2,HET_TASTPM,11.4977,0
1108,HIP,2,HET_TASTPM,11.3034,0
832,HIP,4,HET_TASTPM,11.5048,0
833,HIP,4,HET_TASTPM,11.4741,0
834,HIP,4,HET_TASTPM,11.4304,0.5
835,HIP,4,HET_TASTPM,11.5639,0.5
460,HIP,8,HET_TASTPM,11.5203,1
475,HIP,8,HET_TASTPM,11.4648,1
476,HIP,8,HET_TASTPM,11.4594,2
478,HIP,8,HET_TASTPM,11.5256,1
492,HIP,18,HET_TASTPM,11.5833,4
493,HIP,18,HET_TASTPM,11.4758,3
509,HIP,18,HET_TASTPM,11.5405,3
510,HIP,18,HET_TASTPM,11.4769,3
966,HIP,2,HO_TASTPM,11.3338,0
967,HIP,2,HO_TASTPM,11.6162,0
968,HIP,2,HO_TASTPM,11.6913,0
969,HIP,2,HO_TASTPM,11.5157,0
809,HIP,4,HO_TASTPM,11.4935,1
810,HIP,4,HO_TASTPM,11.504,1
811,HIP,4,HO_TASTPM,11.498,2
